aaa,9512165,8608,43,156
aab,9978411,8911,61,95
aac,9908836,9460,223,358
aad,9848336,9432,207,351
aae,9900575,9799,124,253
aaf,9817212,9391,111,166
aag,9991110,8209,106,278
aba,9887452,9542,37,114
abb,9932828,10348,9,32
abc,9898365,8503,343,499
abd,9965911,9175,42,78
abe,9858050,9908,85,222
abf,9672030,8356,126,224
abg,9832287,9192,125,258
aca,9847035,9488,69,152
acb,9930454,8663,164,258
acc,9939339,10177,16,60
acd,9995662,9019,129,239
ace,9969690,8881,35,78
acf,9942680,9877,97,220
acg,9567774,10727,289,461
ada,9964673,8919,591,1246
adb,9837270,7892,8,23
adc,9946369,9082,17,52
add,9992656,9003,54,118
ade,9776391,9853,108,218
adf,9940258,11464,111,283
adg,9951650,8616,13,28
aea,9822306,9737,114,275
aeb,9981504,8895,30,83
aec,9868375,8491,139,316
aed,9761326,8026,22,66
aee,9966048,8820,70,143
aef,9844398,8016,59,105
aeg,9995727,8484,39,152
afa,9794488,9598,18,51
afb,9877797,9093,101,183
afc,9865273,8230,133,257
afd,9960663,8116,137,295
afe,9788267,8388,138,373
aff,9778649,8942,110,199
afg,9992307,6290,53,130
aga,9916446,9490,223,390
agb,9804139,10353,200,469
agc,9866359,8490,19,53
agd,9971775,8720,42,157
age,9949876,12067,432,756
agf,9929252,8384,334,524
agg,9982758,8396,401,671
baa,9807569,7976,9,35
bab,9660458,7222,10,30
bac,9915782,9035,78,171
bad,9214633,9603,111,174
bae,9928725,8761,147,248
baf,9996161,9091,194,414
bag,9548803,10223,114,315
bba,9792350,8784,34,126
bbb,9822081,8570,55,100
bbc,9957516,9512,316,552
bbd,9844007,8041,237,477
bbe,9920222,8450,118,208
bbf,9460252,8240,33,80
bbg,9803750,8321,354,548
bca,9112770,10393,38,160
bcb,9454366,12371,175,302
bcc,9826611,8793,112,223
bcd,9901309,8174,178,382
bce,9937385,8222,46,112
bcf,9862546,8396,74,182
bcg,9983539,8299,5,13
bda,9884010,7891,317,424
bdb,9943044,8765,173,316
bdc,9755202,8093,85,158
bdd,9992211,10529,97,180
bde,9950357,9975,85,201
bdf,9905140,7848,118,165
bdg,9938125,10347,12,41
bea,9976936,9972,228,381
beb,9969533,9342,21,90
bec,9515233,9785,106,148
bed,9981897,9714,5,9
bee,9894216,9671,63,170
bef,9830128,10773,140,390
beg,9770747,9183,176,272
bfa,9999876,9203,201,403
bfb,9538994,9351,199,291
bfc,9987786,8039,191,298
bfd,9984056,7749,58,133
bfe,9844111,8876,149,279
bff,9590472,9917,39,70
bfg,9905895,9753,337,600
bga,9935643,9842,184,280
bgb,9917635,8822,294,458
bgc,9318075,8167,204,314
bgd,9665142,9174,77,189
bge,9838164,9499,350,525
bgf,9345311,9054,29,86
bgg,9963930,8854,43,106
caa,9911676,8669,264,596
cab,9993290,8955,193,396
cac,9848950,9261,139,229
cad,9923832,9543,76,165
cae,9976453,8326,77,135
caf,9832971,9378,74,193
cag,9887913,9167,69,138
cba,9986964,8376,179,296
cbb,9553229,9796,8,35
cbc,9858652,9219,245,460
cbd,9867659,9289,8,22
cbe,9356856,7614,266,480
cbf,9940445,8388,141,271
cbg,9996320,9627,17,57
cca,9981554,7815,414,613
ccb,9936906,8570,280,363
ccc,9933218,8215,46,84
ccd,9869178,9153,134,197
cce,9452708,9227,201,300
ccf,9744626,9512,83,227
ccg,9978294,9476,149,262
cda,9847424,8085,62,147
cdb,9576253,7505,236,357
cdc,9966571,9481,95,242
cdd,9783228,9509,108,216
cde,9992502,8279,148,216
cdf,9853842,8302,5,8
cdg,9829351,9629,95,152
cea,9645233,9099,38,64
ceb,9568184,8820,305,531
cec,9815018,6680,10,27
ced,9814973,11405,227,417
cee,9922105,9210,17,51
cef,9816253,10153,217,431
ceg,9908941,7756,19,37
cfa,9830339,8645,149,222
cfb,9799690,6776,5,8
cfc,9839219,8126,26,59
cfd,9987924,8647,12,24
cfe,9990462,10173,119,189
cff,9988024,9211,42,79
cfg,9534695,8134,113,185
cga,9603887,8331,130,308
cgb,9894467,8311,560,975
cgc,9651203,7562,317,470
cgd,9956300,7921,146,246
cge,9809180,8437,147,264
cgf,9700911,8320,179,351
cgg,9968043,7968,228,401
daa,9799864,7667,30,57
dab,9700881,8300,143,259
dac,9875472,8611,5,5
dad,9365238,9877,93,261
dae,9891889,9307,102,163
daf,9868215,9987,249,433
dag,9648221,9790,33,50
dba,9907215,8554,62,130
dbb,9772100,7365,266,463
dbc,9963366,9775,121,189
dbd,9517377,9086,60,140
dbe,9746965,7046,94,145
dbf,9890906,8497,9,25
dbg,9893952,8258,85,140
dca,9911916,6766,336,488
dcb,9850480,9068,35,85
dcc,9819337,10062,206,369
dcd,9628095,8783,44,130
dce,9914372,8613,66,165
dcf,9939717,9454,49,212
dcg,9695269,9642,118,182
dda,9867643,10459,22,56
ddb,9484133,8710,44,95
ddc,9961930,9287,90,166
ddd,9859100,9941,190,306
dde,9743048,8993,93,247
ddf,9642265,8026,65,186
ddg,9557593,9279,253,472
dea,9814535,9158,201,303
deb,9954987,7861,115,169
dec,9977960,8199,140,251
ded,9940049,9725,14,90
dee,9983400,9955,32,178
def,9753209,9867,83,203
deg,9895821,7656,88,219
dfa,9826047,8472,32,54
dfb,9782391,9661,233,376
dfc,9777117,7901,14,30
dfd,9791532,9168,480,765
dfe,9894421,7492,112,153
dff,9479726,8417,44,97
dfg,9982394,8258,168,278
dga,9850503,8832,292,510
dgb,9972951,11260,30,76
dgc,9772561,9115,135,308
dgd,9962590,9094,136,250
dge,9860677,9251,164,346
dgf,9929619,10258,98,203
dgg,9512521,10952,118,286
eaa,9991042,8643,86,131
eab,9956399,8313,145,308
eac,9530450,9962,21,53
ead,9963869,8474,292,443
eae,9872399,8871,179,324
eaf,9792855,9106,65,117
eag,9868273,8727,182,351
eba,9959115,7507,36,60
ebb,9871722,10356,149,313
ebc,9619667,10353,14,24
ebd,9729593,8387,7,19
ebe,9967927,8228,165,287
ebf,9930383,8532,203,399
ebg,9832333,7936,118,203
eca,9854354,8580,11,44
ecb,9787557,10042,148,269
ecc,9977548,9299,28,78
ecd,9777506,7932,272,371
ece,9932232,8590,114,164
ecf,9813794,10202,55,87
ecg,9957453,7422,194,330
eda,9807085,8664,155,281
edb,9658292,10175,44,191
edc,9871476,9488,20,64
edd,9117552,8161,115,270
ede,9979903,6865,39,119
edf,9723010,8759,29,71
edg,9935516,8929,108,201
eea,9946541,8185,94,203
eeb,9745694,9530,74,187
eec,9982378,8279,178,274
eed,9700799,9137,122,178
eee,9756011,7826,14,35
eef,9707931,8495,79,171
eeg,9681315,9662,232,371
efa,9693939,9408,90,214
efb,9978530,8941,90,246
efc,9938614,7923,44,80
efd,9704635,8337,94,266
efe,9954260,9347,60,104
eff,9548008,8467,141,310
efg,9916874,8319,79,191
ega,9968366,8252,246,444
egb,9835307,8629,73,207
egc,9918302,9626,234,320
egd,9947270,8737,61,123
ege,9968511,7754,72,161
egf,9722220,9120,30,123
egg,9912194,10261,39,144
faa,9757036,8084,50,106
fab,9968648,10438,145,252
fac,9943482,9369,31,48
fad,9908053,8976,110,176
fae,9922325,10480,122,285
faf,9855094,8488,505,890
fag,9543197,8510,57,121
fba,9821220,8610,88,291
fbb,9687668,9027,5,9
fbc,9995156,8213,117,294
fbd,9909720,11371,33,115
fbe,9527330,8301,21,61
fbf,9999222,8654,364,522
fbg,9871129,9570,112,209
fca,9805440,10306,137,247
fcb,9972690,8637,107,158
fcc,9898839,7917,233,441
fcd,9973519,9156,33,79
fce,9689692,8963,126,266
fcf,9951712,9800,168,261
fcg,9972170,7808,210,336
fda,9901935,8304,203,391
fdb,9808100,9357,139,214
fdc,9976285,7942,164,287
fdd,9679018,7906,8,23
fde,9433479,8977,152,235
fdf,9837498,8941,17,42
fdg,9958644,10118,89,176
fea,9638325,9032,85,231
feb,9950143,10567,157,336
fec,9939582,9535,54,163
fed,9761077,9671,90,332
fee,9672201,9584,161,260
fef,9558052,9328,6,14
feg,9682189,8321,75,135
ffa,9960504,7240,8,18
ffb,9894311,11307,154,310
ffc,9950179,9380,192,339
ffd,9910392,7259,96,156
ffe,9942580,9518,22,95
fff,9971186,9556,5,5
ffg,9934437,8936,108,230
fga,9979446,8233,78,108
fgb,9948975,7088,5,12
fgc,9968206,7900,15,29
fgd,9921288,8084,201,309
fge,9910630,8638,74,123
fgf,9735018,10265,54,77
fgg,9808178,8532,70,160
gaa,9976893,9091,447,1512
gab,9909434,9226,54,206
gac,9864603,10965,136,237
gad,9997432,10640,73,216
gae,9739115,8701,10,36
gaf,9955456,8505,57,101
gag,9935490,10463,569,1122
gba,9588597,8839,146,202
gbb,9982962,8096,123,262
gbc,9707447,10282,123,278
gbd,9911231,7623,127,207
gbe,9769324,9558,5,8
gbf,9724181,9242,94,266
gbg,9982479,8931,13,35
gca,9995609,9935,140,273
gcb,9807361,8096,67,171
gcc,9900675,9183,31,133
gcd,9902141,9796,278,463
gce,9807511,9119,150,243
gcf,9853628,8715,194,283
gcg,9662540,9902,103,262
gda,9830309,7563,155,240
gdb,9867527,10375,67,127
gdc,9851574,10226,226,432
gdd,9579561,10815,130,237
gde,9986753,9386,85,193
gdf,9969140,8056,69,172
gdg,9990729,9778,98,152
gea,9979196,7508,17,73
geb,9894730,8305,277,603
gec,9652761,10743,120,259
ged,9949588,8966,93,147
gee,9780588,10645,211,339
gef,9664764,9268,652,996
geg,9874355,9903,118,221
gfa,9921050,8812,6,14
gfb,9737677,8881,16,85
gfc,9749029,9396,71,177
gfd,9783230,9850,254,460
gfe,9814778,8568,56,92
gff,9996010,9379,159,297
gfg,9647490,9762,13,44
gga,9886096,9098,282,716
ggb,9992248,7768,70,123
ggc,9681894,8957,218,348
ggd,9598377,9635,134,318
gge,9644251,9802,33,134
ggf,9867769,9931,84,159
ggg,9990294,8956,5,8
